content,rating,tokenized_content,sentiment
"loại này có 2 loại nha. loại có ống hút thì giữ nhiệt tốt. còn loại ko có ống hút thì nhẹ hơn, ko giữ đc nhiệt nha. loại có ống hút thì ko bị chảy mồ hôi, mình mang nc đá đi làm 8t vẫn ko tan hết. còn loại ko có ống hút tầm nửa tiếng là tan hết đá nha.",5,2 nha ống hút nhiệt tốt không ống hút nhẹ không nhiệt nha ống hút không chảy mồ_hôi nc đá đi 8t không tan không ống hút tầm_nửa tiếng tan đá nha,Positive
"sản phẩm như quần què. Tôi đọc phần mô tả tưởng ghế cao lắm cái bàn tôi 75cm mua về nó lùn tịt ngồi như kiểu núp lùm. Nhắn tin cho shop góp ý ghi lại thông số thì khăn khăn mình đúng, tôi đã oder mua cây ben riêng để dùng không ý kiến gì rồi mà bảo thủ bảo khách sai. Ok khách sai vậy khách xin trả lại nhé 
Với khách hàng sau chú ý cụm từ hàng hãng nha không một hoá đơn chứng từ tem nhãn mác nào có tên deli cả. Mình có thiện chí không muốn trả hàng mà shop như quần á 😡",1,sản_phẩm quần què đọc mô_tả tưởng ghế bàn 75cm mua lùn_tịt kiểu núp lùm nhắn_tin cửa_hàng góp_ý ghi thông_số khăn khăn đúng oder mua cây ben dùng không ý_kiến bảo_thủ bảo sai ok sai khách_hàng sau chú_ý cụm hàng hãng nha không hoá_đơn chứng_từ tem nhãn_mác deli thiện_chí không hàng cửa_hàng quần_á,Negative
"Chất lượng tương ứng với giá thành. So với ghế cùng kiểu dáng nhưng mắc tiền hơn thì ghế Deli nhiều chi tiết nhựa và cắt giảm kích cỡ/vật liệu. Lưới lưng dệt mỏng và chất lượng trung bình, đệm ngồi cũng vậy. Nói chung mua giá sale quanh quanh 5-600k thì tạm ổn.",5,chất_lượng tương_ứng giá_thành ghế kiểu_dáng mắc tiền ghế deli chi_tiết nhựa cắt_giảm kích_cỡ vật_liệu lưới lưng dệt mỏng chất_lượng trung_bình đệm nói_chung mua giá sale quanh quanh 5 600k tạm ổn,Positive
"May mắn là mình mua ghế màu trắng; hợp với bàn màu trắng. Nếu bàn nhà bạn màu khác thì nên chọn màu đen. Về chất lượng, đệm và lưng ghế ok so với tầm giá 700; nhưng mà cái chân ghế thì mình cảm thấy hơi yếu. Tổng quan đánh giá 5 sao về giá và chất lượng",5,may_mắn mua ghế trắng hợp bàn trắng bàn đen chất_lượng đệm lưng ghế ok tầm giá 700 chân ghế cảm_thấy yếu tổng_quan đánh_giá 5 giá chất_lượng,Positive
"Sản phẩm có chất lượng đúng như mô tả, đóng gói chắc chắn, rất đáng tiền, giao hàng nhanh. 
P/s: Không có thời gian chụp hình nên mình lấy đỡ hình trên mạng up",5,sản_phẩm chất_lượng đúng mô_tả đóng_gói chắc_chắn đáng tiền giao hàng nhanh p s không thời_gian chụp hình đỡ hình mạng up,Positive
"Đã nhận được hàng, tuy nhiên phần chân ghế quá bé, khi ngồi ngả đầu là bị ngã (đã ngã 2 lần). Shop nên cân nhắc sử dụng loại chân ghế bắt sắt với bán kính rộng hơn, chân ghế hiện tại ko đáp ứng được nhu cầu ngả lưng",1,nhận hàng tuy_nhiên chân ghế bé ngả đầu ngã ngã 2 cửa_hàng cân_nhắc sử_dụng chân ghế bắt sắt bán_kính rộng chân ghế hiện_tại không đáp_ứng nhu_cầu ngả_lưng,Negative
"Chất lượng kém quá, thân ghế quá yếu k ngồi tựa được, ngồi bật ngữa té ra sau, mặt đế ghế có 1 đường rất dễ gãy.",1,chất_lượng kém thân ghế yếu k tựa bật ngữa té_ra sau mặt đế ghế 1 đường dễ gãy,Negative
"Ghế đúng như hình mô tả, tuy nhiên phân kỹ thuật bị lỗi: lỗ khoan và ốc vít không khớp nên không hoàn thiện được công đoạn lắp ráp. M",1,ghế đúng hình mô_tả tuy_nhiên phân kỹ_thuật lỗi lỗ khoan ốc vít không khớp không hoàn_thiện công_đoạn lắp_ráp,Negative
"Ghế mới lắp thì tạm chắc chắn, người 80kg dùng 1 tháng sau thì rất lỏng lẻo, hay bị ngả ra đằng sau, nên lúc dựa vào có cảm giác bị ngã ngửa hoặc sắp gãy, full nhựa nên không thể chắc chắn được",2,ghế lắp tạm chắc_chắn 80kg dùng 1 sau lỏng_lẻo hay ngả đằng sau dựa cảm_giác ngã_ngửa gãy ful nhựa không_thể chắc_chắn,Negative
ổn trong tầm giá các bác ạ. chất lượng thì phải dùng mới biết được,5,ổn tầm giá chất_lượng dùng,Positive
"Giá cũng ko có rẻ, mà ngồi cảm giác xiêu xiêu, tựa mạnh chắc lật mặt, nếu thêm cái nhựa thay cho miếng gỗ thì châc chắn và đẹp hơn. Không như mong đợi nên 4* thôi",4,giá không rẻ cảm_giác xiêu_xiêu tựa lật mặt nhựa thay miếng gỗ châc đẹp không mong_đợi 4,Positive
"Ship hàng siêu nhanh, hôm trước đặt sáng sớm hôm sau nhận hàng dù là gần Tết. Thùng gạo sạch sẽ, tiện lợi, không bị mùi nhựa. Ngăn dưới khá rộng mình để gạo nếp, đậu các loại. Dễ dàng cho mấy bé nhà mình lấy gạo vo gạo, mỗi tội chưa biết căn nhấn nút thế nào cho vừa lượng.",5,ship hàng siêu nhanh hôm sớm_hôm sau nhận hàng tết thùng gạo sạch_sẽ tiện_lợi not-negative nhựa ngăn rộng gạo_nếp đậu dễ_dàng bé gạo vo gạo tội nhấn nút thế_nào lượng,Positive
"Giao hàng nhanh, nhận hàng đẹp, chắc chắn, tuy nhiên đổ 5kg gạo là thấy đầy 2/3 thùng rồi nhé! Ncl ưng, hài lòng, mình mỗi lần cũng chỉ mua 5kg gạo thôi.",5,giao hàng nhanh nhận hàng đẹp chắc_chắn tuy_nhiên đổ 5kg gạo 2 3 thùng ncl ưng hài_lòng mua 5kg gạo,Positive
"Cái cốc lấy gạo có lỗ thoát nước khá tiện. Thùng thì trên nắp có chỗ đựng nho nhỏ, có thể cho đồ bảo quản hoặc tỏi tiếc các thứ. Khay dưới thì to hơn thì mình tính cho gạo nếp vào thay vì cho hành tây hay trứng. Khá tiện.",5,cốc gạo lỗ thoát nước tiện thùng nắp đựng nho_nhỏ có_thể đồ bảo_quản tỏi tiếc khay to gạo_nếp thay_vì hành_tây hay trứng tiện,Positive
"Chất lượng sản phẩm tệ. Bẩn, vân tay bẩn. Đế và phần trên sản phẩm bị vỡ. Cảm giác giao hàng trưng bày hoặc đã qua sử dụng.",2,chất_lượng sản_phẩm tệ bẩn vân bẩn đế sản_phẩm vỡ cảm_giác giao hàng trưng_bày sử_dụng,Negative
"Nhựa xịn, sờ cứng cáp, màu này sạch sẽ 
Đựng đc khoảng 8kg là cùng 
Hi vọng sẽ bền 
Đóng gói chắc chắn",5,nhựa xịn sờ cứng_cáp sạch_sẽ đựng 8kg hi_vọng bền đóng_gói chắc_chắn,Positive
"Shop hỗ trợ nhiệt tình mà giao hàng nhanh nữa, nhựa chắc chắn và không mùi, sẽ ủng hộ shop lâu dài",5,cửa_hàng hỗ_trợ nhiệt_tình giao hàng nhanh nhựa chắc_chắn not-negative ủng_hộ cửa_hàng lâu_dài,Positive
"Dùng tiện, có thêm gioăng ở nắp thì thích hơn",5,dùng tiện gioăng nắp thích,Positive
"sản phẩm rất tốt, nhỏ gọn, tiện lợi. giao hàng nhanh, shop nhiệt tình",5,sản_phẩm tốt nhỏ gọn tiện_lợi giao hàng nhanh cửa_hàng nhiệt_tình,Positive
"thùng có chất liệu nhựa tốt, tiện dụng",5,thùng chất_liệu nhựa tốt tiện_dụng,Positive
"Thùng Gạo dùng tốt, shop tư vấn nhiệt tình.",5,thùng gạo dùng tốt cửa_hàng tư_vấn nhiệt_tình,Positive
"giao nhanh, đóng gói rất cẩn thận, tưởng gói hộp bự chứ ổ điện bình thường, thấy m.n cmt nói ổ bự cũng nghĩ k bự lắm, lúc khui ra hết hồn bự thiệt, cầm nặng tay luôn, ổ đẹp nhiều chỗ để cắm nhưng dây hơi ngắn",5,giao nhanh đóng_gói cẩn_thận tưởng gói hộp bự ổ điện bình_thường n cmt ổ bự k bự khui hết_hồn bự thiệt cầm nặng_tay ổ đẹp cắm dây ngắn,Positive
"Dây điện có khả năng chịu tải lớn, dù mình cắm khá nhiều thiết bị và hoạt động cùng lúc nhưng dây vẫn không có hiện tượng nóng lên. Các thiết bị mình cắm cùng lúc gồm bộ máy bàn với 2 màn hình + 1 thùng CPU cắm vào cùng 1 UPS, cục sạc laptop, sạc điện thoại ở 2 cổng USB, máy xông tinh dầu.",5,dây_điện khả_năng chịu_tải lớn cắm thiết_bị hoạt_động dây không hiện_tượng nóng thiết_bị cắm bộ_máy bàn 2 màn_hình 1 thùng cpu cắm 1 ups cục sạc laptop sạc điện_thoại 2 cổng usb máy xông tinh_dầu,Positive
"Sản phẩm phù hợp nhu cầu, giá cả phải chăng. 
Ngày sản xuất: tháng 06-2021.
Màu giao ngẫu nhiên, nhưng may là màu giao mình thích.
Đang sử dụng, cảm thấy ổn. Thời gian lâu dài không biết thế nào, hi vọng hàng sẽ tốt như quảng cáo.",5,sản_phẩm phù_hợp nhu_cầu giá_cả phải_chăng sản_xuất 06 2021 giao ngẫu_nhiên may giao thích sử_dụng cảm_thấy ổn thời_gian lâu_dài không thế_nào hi_vọng hàng tốt quảng_cáo,Positive
"U là tr, giá tốt có chăm mấy mà cái ổ điện nó bự 7 chỗ cắm còn cắm sạc usb đc luôn. Tiện thiệt sự. Mà tiki đóng gói cái hộp chà bá thấy có tâm dễ sợ 🤣 anh shipper dễ thương xỉu, tui còn 1 đơn nữa mad ảnh chở k nổi nữa nên hẹn hôm sau lại giao.",5,u tr giá tốt chăm ổ điện bự 7 cắm cắm sạc usb luôn_tiện thiệt tiki đóng_gói hộp chà_bá tâm dễ sợ shiper dễ_thương xỉu tui 1 đơn mad ảnh chở k nổi hẹn hôm sau giao,Positive
"Mình nhận xét về đơn vị vận chuyển. Mình ở ""tỉnh"" Củ Chi  thuộc TPHCM. Khoảng hơn 1 tháng nay, từ khi hết giãn cách, mình đặt 10 đơn thì 9 đơn ""bị"" Tiki gán cho Ship60 vận chuyển. Và ko có 1 đơn nào giao sớm hơn dự kiến như 90% đơn trước đây mình mua ở Tiki; gần như tất cả đều dậm chân tại chỗ tại khâu ""Đơn vị vận chuyển lấy hàng thành công"" (muốn hủy cũng ko hủy đơn được ngay) và cứ thế ngâm hàng cho hết ngày và trễ hạn dự kiến. Có lẻ Ship60 là đơn vị mới nên rẻ hơn nên Tiki đều gán qua Ship60. 1 sao cho Ship60 và âm sao cho Tiki. Hy vọng đánh giá có chút tác động nào đến nhà bán hàng để ý kiến với Tiki.",1,nhận_xét đơn_vị vận_chuyển_mình tỉnh củ chi tphcm 1 giãn 10 đơn 9 đơn tiki gán ship60 vận_chuyển không 1 đơn giao dự_kiến 90 đơn mua tiki tất_cả dậm chân tại_chỗ khâu đơn_vị vận_chuyển hàng thành_công hủy không hủy_đơn ngâm hàng trễ hạn dự_kiến lẻ ship60 đơn_vị rẻ tiki gán ship60 1 ship60 âm tiki hy_vọng đánh_giá chút tác_động hàng ý_kiến tiki,Negative
"Chất lượng kém, dùng mấy hôm ổ đã rỗng tuếch không cắm sạc được. Dây chất lượng cũng tồi. Khuyên thật lòng mọi người không nên mua sản phẩm này. Thay vào đó ra cửa hàng yêu cầu đo dây điện xịn + mua ổ cắm xịn bắt tại chỗ dùng là yên tâm nhất.",1,chất_lượng kém dùng hôm ổ rỗng_tuếch không cắm sạc dây chất_lượng tồi khuyên lòng không mua sản_phẩm thay cửa_hàng yêu_cầu đo dây_điện xịn mua ổ_cắm xịn bắt dùng yên_tâm,Negative
"Sản phẩm nhận được như hình nhưng có vẻ nhiều vết trầy xước, cũ kĩ , như kiểu hàng trưng bày, nếu là lí do để lâu thì không hợp lí vì sản phẩm để NSX 15/06/2021 
Định cho 1 sao nhưng vì sản phẩm có vê chắc chắn, cứng cáp nên cho 2 sao",2,sản_phẩm nhận hình vẻ vết trầy_xước cũ_kĩ kiểu hàng trưng_bày lí_do không hợp_lí sản_phẩm nsx 15 06 2021 định 1 sản_phẩm vê chắc_chắn cứng_cáp 2,Negative
"Hàng chuẩn y hình, xài thích lắm luôn ấy, nhiều ổ cắm tha hồ dùng ak, còn có cổng usb tiện lợi xạc điện thoại nếu ko có cóc xạc.. giao đúng hẹn luôn ak",5,hàng chuẩn_y hình xài thích ổ_cắm tha_hồ dùng ak cổng usb tiện_lợi xạc điện_thoại không cóc xạc giao đúng hẹn ak,Positive
"ổ cắm chặt, không có cảm giác lỏng hay cắm trượt như ổ Lioa. Chưa thử cổng USB nên không đánh giá mục này.

giá rẻ được nữa thì tốt hơn 🙂",5,ổ_cắm chặt không cảm_giác lỏng hay cắm trượt ổ lioa thử cổng usb không đánh_giá mục giá rẻ tốt,Positive
"Tiki giao vẫn siêu nhanh như mọi khi
Ổ cắm khá chắc chắn
Thương hiệu Nhật Bổn nhưng made in Vietnam
Vừa xài hàng Nhật vừa ủng hộ đội nhà là auto duyệt",5,tiki giao siêu nhanh ổ_cắm chắc_chắn thương_hiệu nhật bổn made in vietnam xài hàng nhật ủng_hộ đội auto duyệt,Positive
"Mình dùng thử mấy bữa rồi mới đánh giá. Ấn tượng vì ngoại hình sản phẩm đẹp lắm nhé, trước mình có sài cây lau sunhouse với thùng cũ của hãng khác thấy cũng bình thường. Nay sài trọn bộ bị bất ngờ về chất lượng sản phẩm ấy, vắt giặt đều nhẹ tênh, vắt siêu khô lau sạch. Vì em ấy nhẹ quá nên nhiều khi cảm giác phải nhẹ nhàng không hư mất.
Nói chung là xứng với giá tiền nên mua nha. Ưng ưng cái bụng. Đẹp - tiện - dễ sử dụng",5,dùng thử bữa đánh_giá ấn_tượng ngoại_hình sản_phẩm đẹp sài cây lau sunhouse thùng cũ hãng bình_thường sài trọn bất_ngờ chất_lượng sản_phẩm vắt giặt nhẹ_tênh vắt siêu khô lau sạch nhẹ cảm_giác nhẹ_nhàng not-negative nói_chung xứng giá tiền mua nha ưng ưng bụng đẹp tiện dễ sử_dụng,Positive
"Nhận hàng nhanh chỉ sau 2 tiếng sau khi đặt Tiki Now.
Sản phẩm như hình quảng cáo: nhựa dày dặn, quay trơn tru, tuy nhiên khớp của cây tay cầm và bàn xoay bị chặt, không linh hoạt. Độ bền phải sử dụng một thời gian mới biết!
Giá ở đây có cao hơn một số gian hàng khác!",5,nhận hàng nhanh sau 2 tiếng sau tiki now sản_phẩm hình quảng_cáo nhựa dày_dặn trơn_tru tuy_nhiên khớp cây tay_cầm bàn xoay chặt không linh_hoạt độ bền sử_dụng thời_gian giá một_số gian_hàng,Positive
"Mình cảm ơn mn đã mua và bình luận sản phẩm này để mình yên tâm mua nhé.
mình nhận dc bộ lau nhà rồi nè,lau đã lắm đó,bữa mình mua ở đmx về giá bộ kia mắc hơn mà ko tốt mấy,bộ này dùng đã quá đã...",5,cảm_ơn mn mua bình_luận sản_phẩm yên_tâm mua nhận lau nè lau bữa mua đmx giá kia mắc not-positive dùng,Positive
"Thấy của Sunhouse nên mình mới mua, nhưng sản phẩm không như mong đợi, lúc vắt miếng bông lau nhà không hề khô, thậm chí mình thấy vắt như không vắt ấy.",2,sunhouse mua sản_phẩm không mong_đợi vắt miếng lau không hề khô thậm_chí vắt như_không vắt,Negative
"bông lau mềm có độ bám tốt, mỗi tội bông màu trắng nhìn nhanh bẩn ấy. Cán cầm cũng vừa tay, phải tự lắp giáp. Giao hàng ổn, cẩn thận.",5,lau mềm độ bám tốt tội trắng nhanh bẩn cán cầm lắp giáp giao hàng ổn cẩn_thận,Positive
"Giao hàng rất nhanh, đúng thời gian  Sản phẩm đẹp, chắc chắn, rất chất lượng. Màu sắc trang nhã. Nhân viên giao hàng nhiệt tình, chu đáo.",5,giao hàng nhanh đúng thời_gian sản_phẩm đẹp chắc_chắn chất_lượng màu_sắc trang_nhã nhân_viên giao hàng nhiệt_tình chu_đáo,Positive
"Nhựa rất mỏng không cứng cáp sách đỏ 3 lít nước mà sách lên phải bợ 2 bên không nó đứt mất, cây lau nhà không cùng 1 màu nhìn *** 
Đánh giá 3/10 điểm",1,nhựa mỏng không cứng_cáp sách_đỏ 3 lít nước sách bợ 2 không đứt cây lau_nhà không 1 đánh_giá 3 10,Negative
Tôi phải làm sao khi cây lau nhà dùng ngày thứ 2 đã xoay để giặt lúc được lúc không đây??? Chẳng lẽ nó là cây lau nhà xài 1 lần???,1,làm_sao cây lau_nhà dùng 2 xoay giặt không chẳng_lẽ cây lau_nhà xài 1,Negative
"Xài cứng, xài được 1 tuần xoay rất khó, bộ quay ở thùng đựng cũng cứng và cây lau cũng khó xoay",2,xài cứng xài 1 tuần xoay thùng đựng cứng cây lau xoay,Negative
Sp chất lượng đóng bọc ok… hàng mới chất lượng … dùng rấy thích,5,sản_phẩm_chất_lượng đóng bọc ok … hàng chất_lượng … dùng rấy thích,Positive
"Sản phẩm hỏng
Mới mua dùng chưa được 1 tháng, đầu khớp nối đã mủn gãy ra. Tiki không hỗ trợ. Gọi chăm sóc KH lock & lock không ai nghe máy. Mất tiền oan uổng. Bán hàng xong rủi ro khách chịu hết. 
Giấy bảo hành vẫn còn đây. Chả hiểu ai bảo
hành cho khách.",1,sản_phẩm hỏng mua dùng 1 đầu khớp nối mủn gãy tiki không hỗ_trợ gọi chăm_sóc không lock lock không máy tiền oan_uổng hàng rủi_ro giấy bảo_hành chả bảo_hành,Negative
"tikinow giao siêu nhanh. mình ở đảo, đặt hàng tối thứ 7 mà chiều thứ 2 đang làm thì nv giao hàng mang tới, quá bất ngờ luôn. Cây lau chắc chắn, cầm chắc tay. chưa biết chỗ đổ nước vào thế nào thôi. Chứ trc mắt thì đã rất rất hài lòng luôn. sẽ ủng hộ tiki dài dài",5,tikinow giao siêu nhanh đảo đặt_hàng tối 7 chiều 2 nv giao hàng bất_ngờ cây lau chắc_chắn cầm_chắc_tay đổ nước thế_nào trc mắt hài_lòng ủng_hộ tiki dài_dài,Positive
"thiết kế mặt lau sàn quá dày một cách dở tệ khiến mặt lau không bám sàn nên không những không lau sạch bụi mà còn làm sàn nhà đọng nước nhiều hơn, cuối cùng thì sau khi lau sàn nhà còn đọng nước và dơ hơn trước khi lau. giá bán cao mà chất lượng thua xa cây lau nhà Deepma của xiaomi",1,thiết_kế mặt lau sàn dày một_cách dở_tệ mặt lau không bám sàn không_những không lau sạch bụi sàn đọng nước cuối_cùng sau lau sàn đọng nước dơ lau giá chất_lượng thua cây lau_nhà depma xiaomi,Negative
Trước khi mua cũng đã do dự vì thấy phản hồi ko tốt khá nhiều. Cuối cùng quyết định đặt niềm tin vào thương hiệu này. Nhưng sau hơn 1 tháng rưỡi sử dụng bỗng 1 ngày đẹp trời cái bình chứa nước tự dưng bung luôn. Mình có quay video rõ ràng hơn nhưng ko đăng lên đây được. Gọi cskh ko ai nghe máy. Mua sản phẩm về giờ có vấn đề không biết liên hệ bên nào để giải quyết. Cam kết bảo hành như không cam kết vậy á.,2,mua do_dự phản_hồi not-positive cuối_cùng quyết_định niềm thương_hiệu sau 1 rưỡi sử_dụng 1 đẹp trời bình chứa nước tự_dưng bung video rõ_ràng không đăng gọi cskh không máy mua sản_phẩm vấn_đề không liên_hệ giải_quyết cam_kết bảo_hành như_không cam_kết,Negative
"Thích cây lau nhà loại này từ lâu, nhưng ko dám mua vì sợ mau hỏng vì đã đọc nhiều comment mua phải hàng TQ, nhưng tình cờ thấy đc cây này của lock and lock và còn cung cấp bởi tiki trading nên ko chần chừ, đặt luôn 2 cây. Kết quả là quá ok.",5,thích cây lau_nhà không dám mua sợ mau hỏng đọc coment mua hàng tq tình_cờ cây lock and lock cung_cấp tiki trading không chần_chừ 2 cây kết_quả ok,Positive
"Cây lau nhà dạng mới này của Lock&Lock đẹp hơn hẳn mẫu cũ, cảm giác chắc chắn hơn rất nhiều. 
Mình đã dùng kiểu chổi này 4 năm nay và thấy nó tiện hơn loại có xô đi kèm rất nhiều. Ko tốn diện tích, ko mất công xoay với vắt, lại ko phải xách theo cái xô. 
Tuy nhiên, mẫu mới này tháo miếng lau ra rất là bất tiện, mất công, mỗi lần tháo ra lắp vào là lại loay hoay mất 1 lúc, 2 mấu nhựa cố định miếng lau ở 2 bên = nhựa hoàn toàn, nên mỗi lần bẻ ra, lắp vào cứ rón rén vì sợ nó gãy, cảm giác ko yên tâm với 2 cái mấu đó.
Nhìn chung thì trừ vấn đề tháo lắp miếng lau ra thì mọi thứ đều quá ổn. 
1 sản phẩm rất đáng mua.",4,cây lau_nhà dạng lock lock đẹp hẳn mẫu cũ cảm_giác chắc_chắn dùng kiểu chổi 4 tiện xô đi kèm không tốn diện_tích không mất_công xoay vắt không xách xô tuy_nhiên mẫu tháo miếng lau bất_tiện mất_công tháo lắp loay_hoay 1 2 mấu nhựa cố_định miếng lau 2 nhựa hoàn_toàn bẻ lắp rón_rén sợ gãy cảm_giác không yên_tâm 2 mấu nhìn_chung trừ vấn_đề tháo lắp miếng lau ổn 1 sản_phẩm đáng mua,Positive
"Bàn lau nhà có mẫu mã đẹp, màu sắc trang nhã. Shop giao hàng nhanh chóng, đóng gói đàng hoàng và chắc chắn. Nhân viên giao hàng lịch sự vui vẻ. Về chất lượng phải dùng thời gian mới nhận xét chính xác được. Cảm ơn Tiki phục vụ tận tình! Hẹn gặp lại dịp sau!",4,bàn lau mẫu_mã đẹp màu_sắc trang_nhã cửa_hàng giao hàng nhanh_chóng đóng_gói đàng_hoàng chắc_chắn nhân_viên giao hàng lịch_sự vui_vẻ chất_lượng dùng thời_gian nhận_xét chính_xác cảm_ơn tiki phục_vụ tận_tình hẹn dịp sau,Positive
giao hàng nhanh mở hàng ra thấy chác chắn nhưng mới lau đẩy chưa hết 10 m2 thì cây lau sứt ra gắn lại lau tiếp vẫn văng ra tôi mua đồ trên tt mua chủ yếu là hàng của lock &lock đánh giá chát lượng tốt hài lòng nhưng đợt này gặp đơn hàng quá tệ mà đã sài rồi làm sao mà đổi được,2,giao hàng nhanh mở_hàng chác lau đẩy 10 m2 cây lau sứt gắn lau tiếp văng mua đồ t mua chủ_yếu hàng lock lock đánh_giá chát lượng tốt hài_lòng đợt đơn hàng tệ sài làm_sao đổi,Negative
"Cây lau rất nhẹ nhưng cầm cảm giác chắc chắn, bình nước nhỏ gọn tiết kiệm nước. Dùng cho nhà chung cư rất hợp vì chỉ lau 1 lúc là sạch hết các phòng. Chỉ hơi lăn tăn là khớp nối giữa cây lau và miếng bàn lau dùng 1 thời gian không biết có bị sao không vì trông hơi mỏng manh. Nhưng vẫn là cây lau thích nhất từ trước đến giờ + tiki giao hàng nhanh nên chấm 5* luôn.",5,cây lau nhẹ cầm cảm_giác chắc_chắn bình nước nhỏ gọn tiết_kiệm nước_dùng nhà_chung_cư hợp lau 1 sạch phòng lăn_tăn khớp nối cây lau miếng bàn lau dùng 1 thời_gian không không trông mỏng_manh cây lau thích tiki giao hàng nhanh chấm 5,Positive
"Hàng mình vừa nhận, lắp ráp theo hướng dẫn. Đang hớn hở để dùng thử mà bóp mỏi tay cũng không thấy giọt nước nào. cây lau nhà nhìn hơi cũ nữa. cảm giác thất vọng nặng nề. Mìng muốn yêu cầu đổi hoặc trả hàng",1,hàng nhận lắp_ráp hướng_dẫn hớn_hở dùng thử bóp mỏi không giọt nước cây lau_nhà cũ cảm_giác thất_vọng nặng_nề mìng yêu_cầu đổi hàng,Negative
"Ghế thì chất lượng ok nhưng shipper có thái độ rất tệ, hành khách hàng, cố tình không đỗ đúng cổng toà nhà. Khách hàng yêu cầu ra cổng thì shipper trả lời rằng ""còn phải ship cho nhiều người nữa"".
Dù bên bán hàng không có lỗi nhưng trải nghiệm mua hàng rất tệ nhưng vẫn vote 1 sao",1,ghế chất_lượng ok shiper thái_độ tệ hành_khách_hàng cố_tình không đỗ đúng cổng nhà_khách_hàng yêu_cầu cổng shiper trả_lời ship hàng not-negative trải nghiệm mua hàng tệ vote 1,Negative
Ghế đẹp và chắc chắn lắm nhé shop. Sẽ ủng hộ shop dài dài 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,ghế đẹp chắc_chắn cửa_hàng ủng_hộ cửa_hàng dài_dài,Positive
"Giao hàng nhanh, đóng gói cẩn thận. Mink thấy shop phục vụ rất tốt hàng chất lượng. Lần sau lại mua ủng hộ shop",5,giao hàng nhanh đóng_gói cẩn_thận mink cửa_hàng_phục_vụ tốt hàng chất_lượng sau mua ủng_hộ cửa_hàng,Positive
Sản phẩm giống hình ảnh. chắc chắn. Shop tư vấn nhiệt tình. Nói Chung là khá ưng ý.,5,sản_phẩm giống hình_ảnh chắc_chắn cửa_hàng tư_vấn nhiệt_tình nói_chung ưng_ý,Positive
"nhận đc ghế rất ưng ý, lắp lên chắc chắn, đẹp lắm",5,nhận ghế ưng_ý lắp chắc_chắn đẹp,Positive
"rất hài lòng khi nhận đc sản phẩm, shop tư vấn nhệt tình lắm",5,hài_lòng nhận sản_phẩm cửa_hàng tư_vấn nhệt tình,Positive
"Ghế đẹp chất lượng hợp giá tiền
Bé nhà mình rất thích
Giao hàng nhanh gọn",5,ghế đẹp chất_lượng hợp giá tiền bé thích giao hàng nhanh gọn,Positive
"Ghế tốt, như hình, có bọc ghế, bọc lưng, phù hợp bé",4,ghế tốt hình bọc ghế bọc lưng phù_hợp bé,Positive
"Hàng tặng đi kèm ko có, khách hỏi lại thì nv báo là có mấy nghìn thôi mà",1,hàng tặng đi kèm không nv báo nghìn,Negative
thiếu 4 ốc lưng ghế 6 ốc nhỏ cho chôc đêt chân ghế!!chừng nào giao đươc?,2,4 ốc lưng ghế 6 ốc nhỏ chôc đêt chân ghế chừng giao đươc,Negative
"Khi vừa nhận hàng, mình chế dầu vô, cất rồi đi ăn cơm, rồi nghe tiếng rắc, mình đoán ngay là chai dầu có vấn đề (do đọc comment của 1 bạn trước đó với tình trạng tương tự) nên chạy vô xem, y như rằng, đầu lìa khỏi cổ! Mình liên hệ Tiki để complaint và đề nghị đổi lọ mới, Tiki từ chối với lý do là sản phẩm đã qua sử dụng. Nên mình nghĩ sản phẩm này dùng để trưng bày thì ok, bạn có thể mua nó vì ngoài hình nhìn cũng ổn, đừng chế dầu vô xài nha, vì có khả năng nó bị rơi cổ, không trưng bày tiếp được đâu, đổi cũng không được.",1,nhận hàng chế dầu vô cất đi cơm tiếng rắc đoán chai dầu vấn_đề đọc coment 1 tình_trạng tương_tự chạy vô y_như_rằng đầu lìa cổ liên_hệ tiki complaint đề_nghị đổi lọ tiki từ_chối lý_do sản_phẩm sử_dụng sản_phẩm dùng trưng_bày ok có_thể mua hình ổn đừng chế dầu vô xài nha khả_năng rơi cổ không trưng_bày tiếp đổi không,Negative
"Hinh thức giống mô tả. Vòi xịt tia mịn, yếu, khả năng sẽ tắc nếu xịt dầu ăn. Nhưng sẽ phù hợp với những bạn xịt khoáng. Mình mua bình xịt dầu 35.000 đ (màu vàng) thì tia mạnh, to, cây dẫn dầu lên cũng to hơn nên chắc phù hợp xịt dầu hơn. 
Tóm lại: bình nà phù hợp với xịt khoáng, không phù hợp cịt dầu!",3,hinh thức giống mô_tả vòi xịt tia mịn yếu khả_năng tắc xịt dầu phù_hợp xịt_khoáng mua bình_xịt dầu 35 000 đ vàng tia to cây dầu to phù_hợp xịt dầu tóm bình nà phù_hợp xịt_khoáng không phù_hợp cịt dầu,Negative
